,Date,Open,High,Low,Close,Volume,U001,FTG01P,FTG02P,FRG01P,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,close_ma60_ratio,close_ma120_ratio,volume_ma5_ratio,volume_ma10_ratio,volume_ma20_ratio,volume_ma60_ratio,volume_ma120_ratio,close_ema5_ratio,close_ema10_ratio,close_ema20_ratio,close_ema60_ratio,close_ema120_ratio,close_lastclose_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,volume_lastvolume_ratio,open_close_ratio,RSI,MACD,MACD_Signal,MACD_Hist,Bollinger_High,Bollinger_Low,ATR,MFI,Stoch_Osc,Stoch_Signal,ROC,Williams_%R,CCI,OBV,Hist_Volatility,ADI,CMF,Keltner_High,Keltner_Low,Vortex_Pos,Vortex_Neg,Parabolic_SAR,ADX,DMP,DMN,EoM,Chaikin_Oscillator,Stoch_RSIk,Stoch_RSId,TSI,TSIs,BoP
20,2018-02-07,48240,48260,45800,45800,23448050,2396.56,1220.15,1242.29,1102.69,-0.04047599094946786,-0.06648730178141943,-0.06643021667787766,,,-0.08464837424716315,-0.0164297162761491,0.19631946835121095,,,-0.03559538600696264,-0.05182551892410529,-0.06312919524375891,,,-0.034162800506115566,0.017292281737663433,0.053711790393013104,0.0,0.2082606556067699,0.05327510917030567,29.763176901549336,,,,51579.90380617746,46538.09619382254,1679.9978842900928,43.909007707142194,13.677313677313677,15.133081049479763,-5.05804311774461,-100.0,-157.65101863756573,16175950.0,10.277028908772957,-94625401.93668823,-0.20410291324294627,52040.42857142858,48886.14285714286,0.8282740676496098,1.0346921075455333,53383.12192,,25.2487462658931,31.941562226921143,-1259202.5206646363,-30783028.696605235,,,,,-0.991869918699187
21,2018-02-08,46120,46620,45980,46000,23251050,2407.62,1218.9,1238.86,1105.53,-0.02060977686935786,-0.05419853606382104,-0.06020798006006497,,,-0.060364699435355204,-0.07176990514515666,0.19196299493707744,,,-0.021143867900156585,-0.03935623423781978,-0.05371741975805012,,,0.004366812227074236,0.0069868995633187774,0.013478260869565217,-0.0004347826086956522,-0.00840155151494474,0.0026086956521739132,31.579416650145458,,,,51782.863889540546,46111.136110459454,1602.1495454028634,42.05020366938,6.614266326496542,11.322964560374631,-6.427990235964199,-97.60191846522783,-157.91193911378792,39427000.0,11.587488056634914,-116423261.31168823,-0.21940853895160486,51621.34013605442,48611.27210884354,0.8589174800354925,1.0887311446317658,52928.1346048,,24.07897058928335,30.461708052282688,-862905.8709753106,-35829678.21943773,,,,,-0.1875
22,2018-02-09,44440,45180,44420,44700,17465000,2363.77,1218.56,1237.0,1108.78,-0.03597308488612837,-0.06929291246772716,-0.0834905273517592,,,-0.21981408658835175,-0.32201850212090005,-0.08157484803455571,,,-0.03307624853444874,-0.05507907400745626,-0.07335945761058484,,,-0.02826086956521739,-0.03391304347826087,0.010738255033557046,-0.006263982102908278,-0.24885112715339738,-0.0058165548098434005,26.73929470002815,,,,52150.67192843579,45393.32807156421,1600.1820986998505,41.545235526974174,1.759579990328725,7.350386664712981,-9.404134576408593,-97.11934156378601,-201.22390208783312,21962000.0,13.854965670613426,-121019313.94326718,-0.2855076758266673,51263.117265954,48238.77000323939,0.8699472759226714,1.0685413005272408,52500.446528511995,,21.967117249496106,36.44956544355244,-758213.353166261,-36099353.568877265,,,,,0.34210526315789475
23,2018-02-12,45100,46320,45040,45720,15754950,2385.38,1217.65,1232.64,1102.18,-0.004528827730360565,-0.037027675976241625,-0.05985893771462647,,,-0.20690306114743948,-0.3975601395003538,-0.18364729720591974,,,-0.007368525681537493,-0.027591239792120515,-0.04747791628723193,,,0.022818791946308724,0.008948545861297539,0.013123359580052493,-0.014873140857392825,-0.09791296879473232,-0.013560804899387576,35.13922765196479,,,,52262.53906766815,44999.46093233185,1601.9123347427176,41.77612960306187,6.217741855897998,4.863862724241089,-9.033028253083963,-86.62551440329219,-132.57575757575748,37716950.0,14.935078726195837,-120034629.56826718,-0.2832123911197671,51043.772764434565,47998.887145788016,0.8738277919863597,1.0264279624893435,51854.01080623103,,26.240762937365904,33.23134108591339,-433644.89652689395,-32614607.222613692,,,,,0.484375
24,2018-02-13,46200,48060,46200,47540,18923250,2395.19,1219.13,1236.27,1101.98,0.034557799442896935,0.006094980106662152,-0.019955471262472168,,,-0.04275548019420835,-0.29432395670085987,-0.015740505958766506,,,0.02120325278111073,0.009078149744056581,-0.008657742017775163,,,0.03980752405949256,0.010498687664041995,0.01093815734118637,-0.02818679007151872,0.20109870231260651,-0.02818679007151872,46.84952170822117,,,,52112.27301962546,44903.72698037454,1665.345154953017,43.39845884472867,16.117969821673526,8.031763889300082,-6.380464749901536,-67.90123456790124,-57.18175629680087,56640200.0,14.860530302735478,-111692121.50375105,-0.3058549403611596,51155.79440591699,47955.18360809392,0.8969991889699919,0.9570154095701541,51259.289941732546,,32.05144547145706,29.21837452860639,243332.9276173945,-25569630.494740397,,,-7.166482910694596,-7.166482910694596,0.7204301075268817
25,2018-02-14,48080,49100,47940,49000,18905900,2421.83,1219.58,1238.76,1094.32,0.051682692307692304,0.03897205377210466,0.010788621408090435,,,0.0024321276265202125,-0.1498470989266909,-0.03632371814027232,,,0.034440150299351956,0.03254575253120188,0.019671546527969236,,,0.030710980227177113,0.011358855700462769,0.0020408163265306124,-0.02163265306122449,-0.0009168615327705336,-0.018775510204081632,54.02103813310539,-1007.5330933669538,,,52053.037471839474,44900.962528160526,1656.4210886764326,44.71604193462791,30.8641975308642,17.733303069478577,-4.334244435767278,-52.88065843621399,4.962418050977459,75546100.0,14.753542801078755,-96045859.43478554,-0.2645523290976412,51247.62351011537,48054.68993113259,0.9280575539568345,0.926458832933653,50712.14674639394,,34.81309891863451,26.887289475508013,368659.6044357703,-15384726.58459954,,,-4.914729797798086,-6.844803894566524,0.7931034482758621
26,2018-02-19,49800,49800,47860,48380,15353450,2442.82,1218.45,1235.02,1083.24,0.027874564459930314,0.028967629418520567,-0.00043387533315427366,,,-0.11151638464374027,-0.26932295735399203,-0.2184052457404067,,,0.0141336200350353,0.015882652257222803,0.0061209118281852016,,,-0.012653061224489797,0.0163265306122449,0.029350971475816452,-0.010748243075651096,-0.1879016603282573,0.029350971475816452,50.88135373416823,-868.1756023427151,,,51916.94027253024,44885.05972746976,1680.1288713130593,42.80084115139457,39.98628257887517,28.989483310470963,-2.8514056224899598,-59.25925925925925,8.464981269139184,60192650.0,14.528378638996065,-103168593.97086802,-0.2519216638342684,51344.04031867581,48085.671842453296,0.9016141429669485,0.9185242121445042,50208.77500668242,,34.93563562058441,24.291776741412217,291653.4696806186,-12085888.102422744,,,-4.005018260367848,-6.4391202325381425,-0.7319587628865979
27,2018-02-20,48040,48160,47220,47400,10122600,2415.12,1217.99,1233.88,1090.46,-0.004369013611157789,0.008768196135183452,-0.018735120587930858,,,-0.3598165447447292,-0.46998930826237795,-0.48587222838475325,,,-0.004281800076189078,-0.0038449535945392875,-0.012918887657290153,,,-0.020256304257957835,-0.007027697395618024,0.016033755274261603,-0.0037974683544303796,-0.3406954137343724,0.01350210970464135,46.30067857453697,-827.2752819978778,,,51820.17567128587,44789.82432871413,1637.168007306812,39.10324774660548,39.50617283950617,36.78555098308184,-5.01002004008016,-69.34156378600824,-36.782136575667096,50070050.0,14.554086207580454,-109414453.54533611,-0.25357647080511664,51189.36981213526,48020.36976221965,0.8353474320241692,0.9954682779456193,49800.0,14.478274794081612,32.89109645223771,26.099005116512394,-772450.8724530118,-11624965.124097273,,,-4.630560485408397,-6.180754554376751,-0.6808510638297872
28,2018-02-21,47280,47580,46840,47280,12880200,2429.65,1218.56,1234.82,1093.71,-0.01335559265442404,0.007586735998636092,-0.020245767453426447,,,-0.15468055559201632,-0.2661310494106064,-0.34640983881488896,,,-0.004545377233353989,-0.005215290549332097,-0.01396997570496558,,,-0.002531645569620253,-0.002531645569620253,0.006345177664974619,-0.009306260575296108,0.2724201292158141,0.0,45.75746248697564,-795.3758825026598,,,51800.51859032799,44713.48140967201,1563.8834438969452,39.12091654297125,33.6076817558299,37.70004572473707,-5.098354074668808,-70.57613168724279,-49.07776302198602,37189850.0,14.686029344252617,-106977658.95074151,-0.24010316535521564,50958.00125859857,47949.85835629397,0.8619084561675717,1.0077579519006983,49800.0,13.761274618268557,31.619807082486695,27.07504552842876,-479384.51439104654,-9604246.977947935,,,-5.2862993989047045,-6.052975246452173,3.00060276925718e-19
29,2018-02-22,47260,47260,46760,46760,8869950,2414.28,1219.13,1235.02,1101.33,-0.021020015074114395,-0.002091425156856887,-0.028605854124685793,,,-0.3293763542969299,-0.4623438545616774,-0.5445166258145759,,,-0.010382751542417577,-0.013257685531764696,-0.022504523661311823,,,-0.010998307952622674,-0.00042301184433164127,0.0106928999144568,0.0,-0.3113499790375926,0.0106928999144568,43.382241427802605,-802.8008443510989,,,51712.47814984235,44561.52185015765,1479.4801484584434,21.034254893217636,31.95404034683681,35.02263164739096,-1.970649895178197,-64.22018348623853,-56.95764909248056,28319900.0,14.855425763310333,-115847608.95074151,-0.3004979079440628,50657.23923397013,47836.538512837404,0.8400735294117647,1.1838235294117647,49369.6,13.057970468006088,30.721218675759008,26.74282069955847,-1392169.6752792394,-10726733.01107338,66.6584546357441,,-6.515845362183939,-6.119099548699569,-1.0
